"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0310001373291","10.6450004577637","12.3680000305176","12.298999786377","8.70199966430664","11.1379995346069","11.1090002059937","11.0129995346069","11.0690002441406","11.1840000152588","11.5839996337891","8.69099998474121","8.85299968719482","10.0010004043579","8.47000026702881","9.05700016021729","7.80200004577637","8.75500011444092","6.70499992370605","7.82100009918213","8.22999954223633","7.93599987030029","8.45199966430664","8.70600032806396","8.86400032043457","8.84099960327148","8.83699989318848",
"Angola","AGO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6499996185303","23.6429996490479","23.6359996795654","23.761999130249","23.9169998168945","23.9540004730225","23.8889999389648","23.8439998626709","23.7749996185303","23.7339992523193","23.7250003814697","23.7900009155273","23.6280002593994","23.6399993896484","21.3579998016357","19.0849990844727","16.8040008544922","14.4989995956421","12.1370000839233","9.86299991607666","7.3600001335144","7.34700012207031","7.33099985122681","7.30600023269653","7.2810001373291","7.72399997711182","8.16699981689453",
"Albania","ALB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3239994049072","22.6469993591309","24.826000213623","24.5830001831055","23.8610000610352","23.3980007171631","23.1949996948242","23.0330009460449","23.2900009155273","22.7299995422363","22.6800003051758","21.488000869751","20.1529998779297","18.818000793457","17.4629993438721","16.0400009155273","13.5","13.0500001907349","13.7600002288818","14.1999998092651","13.9799995422363","13.4399995803833","15.6400003433228","17.4899997711182","17.0799999237061","15.2200002670288","13.8669996261597",
"Andorra","AND","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6622338555855","12.9218520991223","13.4055193424104","13.68105214045","14.2561479252386","13.7057233946595","13.2479029225774","13.1967192798199","12.3271838026853","12.6022102318098","12.8680257636966","12.9396346755245","13.1194458867288","12.1667056797134","11.8033860508078","11.0112376426622","10.5332538267543","10.14122554422","9.77368372228698","10.3536059322497","10.3716006059393","10.5936350095754","10.4826956632753","10.4488968953494","10.4273745548069","10.2738354292815","10.1838360887224",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.80799996852875","1.83200001716614","1.79700005054474","1.83899998664856","1.79999995231628","1.88900005817413","2.01300001144409","2.01600003242493","2.10899996757507","2.25","2.40700006484985","2.6489999294281","2.9300000667572","3.09899997711182","3.11999988555908","3.17600011825562","3.18499994277954","4.01000022888184","4.17000007629395","3.81399989128113","3.53900003433228","3.16700005531311","2.81900000572205","2.43700003623962","2.09599995613098","1.63999998569489","1.71599996089935",
"Argentina","ARG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.55000019073486","6.3600001335144","10.1000003814697","11.9499998092651","18.7999992370605","17.2000007629395","14.8900003433228","12.6899995803833","14.1000003814697","15.0299997329712","17.3500003814697","19.6100006103516","15.3999996185303","13.5200004577637","11.5100002288818","10.0799999237061","8.47000026702881","7.84000015258789","8.64999961853027","7.38000011444092","7.05000019073486","7.34000015258789","6.6100001335144","7.01999998092651","6.88299989700317","8.39599990844727","8.73799991607666",
"Armenia","ARM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98800003528595","1.79999995231628","5.30000019073486","6.59999990463257","6.69999980926514","9.30000019073486","10.8000001907349","9.39999961853027","11.1999998092651","10.9139995574951","10.6029996871948","10.4449996948242","10.1000003814697","9.60000038146973","8.19999980926514","7.5","12.0069999694824","16.3700008392334","18.7399997711182","19.0100002288818","18.4400005340576","17.3099994659424","16.1800003051758","17.5","18.2600002288818","18.0400009155273","18.1870002746582",
"American Samoa","ASM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
