"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6340007781982","22.6469993591309","18.2679996490479","15.0869998931885","18.5419998168945","17.9360008239746","17.4209995269775","17.0189990997314","16.6040000915527","16.1399993896484","15.835000038147","21.1140003204346","21.8929996490479","23.2689990997314","23.2469997406006","24.2360000610352","25.0359992980957","27.3269996643066","28.4370002746582","30.9890003204346","32.4790000915527","33.7179985046387","33.8889999389648","33.6749992370605","34.0769996643066","33.9020004272461","33.1710014343262",
"Angola","AGO","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.3650016784668","57.3689994812012","52.8639984130859","52.648998260498","51.5320014953613","51.9519996643066","52.7019996643066","54.9210014343262","53.3400001525879","56.3530006408691","57.234001159668","54.4249992370605","54.935001373291","55.6129989624023","54.443000793457","52.2809982299805","51.7900009155273","50.5289993286133","49.007999420166","43.6860008239746","40.7560005187988","40.2190017700195","41.1940002441406","41.1100006103516","41.6030006408691","41.4230003356934","40.4329986572266",
"Albania","ALB","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4020004272461","16.4130001068115","16.3460006713867","16.7770004272461","17.0450000762939","22.3269996643066","22.3780002593994","24.011999130249","26.1159992218018","26.3969993591309","27.1520004272461","27.556999206543","27.5270004272461","28.7159996032715","30.1620006561279","31.2240009307861","37.9090003967285","34.742000579834","38.3889999389648","38.0369987487793","36.8629989624023","38.5800018310547","39.5940017700195","40.8409996032715","41.2550010681152","42.2169990539551","42.5209999084473",
"Andorra","AND","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.717876851931","43.6751672491041","44.2101752995613","44.4406816626632","45.1214326042552","44.0627682279638","46.3357010095587","46.9325286780651","47.2143228481146","47.9904245732001","48.1933756028508","48.7919783034618","48.6402860555862","49.2403804922981","48.8401215958489","48.4806739434784","49.1448878116507","49.0479837306164","49.2187940974039","49.2660831598131","49.9745838320489","49.9920351692309","50.5442188145504","49.8480311591283","49.4522380710921","49.374345916989","48.893992035132",
"United Arab Emirates","ARE","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.8429985046387","57.0410003662109","55.8950004577637","55.3790016174316","54.8349990844727","55.523998260498","55.5750007629395","54.7239990234375","54.5719985961914","54.9700012207031","53.2859992980957","52.5379981994629","51.7309989929199","51.6559982299805","49.8359985351563","58.9080009460449","64.4250030517578","68.7470016479492","67.4189987182617","67.1060028076172","67.3479995727539","66.786003112793","66.6949996948242","64.8440017700195","62.4020004272461","60.242000579834","56.2960014343262",
"Argentina","ARG","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.4210014343262","58.6150016784668","61.1380004882813","61.7719993591309","64.5979995727539","65.9020004272461","64.1969985961914","64.5090026855469","66.6579971313477","67.963996887207","69.1039962768555","71.4390029907227","69.4810028076172","67.3649978637695","66.5579986572266","66.0370025634766","65.1070022583008","64.9540023803711","65.6910018920898","65.5719985961914","65.7009963989258","65.9860000610352","65.1320037841797","64.3889999389648","64.9219970703125","65.1129989624023","65.5540008544922",
"Armenia","ARM","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.0909996032715","29.1280002593994","27.2630004882813","25.6900005340576","28.2159996032715","30.1760005950928","31.9179992675781","32.3930015563965","33.6940002441406","34.734001159668","35.5400009155273","36.6110000610352","37.6990013122559","38.9339981079102","39.5620002746582","40.0929985046387","41.3230018615723","39.4659996032715","38.923999786377","41.6699981689453","41.273998260498","42.0890007019043","44.9370002746582","45.9679985046387","45.6500015258789","46.6949996948242","46.6389999389648",
"American Samoa","ASM","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
